n;k;m
1;100;1
2;100;2
3;100;3
4;100;4
5;100;5
6;100;6
7;100;7
8;100;8
9;100;9
10;100;10
11;100;11
12;100;12
13;100;13
14;100;14
15;100;15
16;100;16
17;100;17
18;100;18
19;100;19
20;100;20
21;100;21
22;100;22
23;100;23
24;100;24
25;100;25
26;100;26
27;100;27
28;100;28
29;100;29
30;100;30
31;100;31
32;100;32
33;100;33
34;100;34
35;100;35
36;100;36
37;100;37
38;100;38
39;100;39
40;100;40
41;100;41
42;100;42
43;100;43
44;100;44
45;100;45
46;100;46
47;100;47
48;100;48
49;100;49
50;100;50
51;100;51
52;100;52
53;100;53
54;100;54
55;100;55
56;100;56
57;100;57
58;100;58
59;100;59
60;100;60
61;100;61
62;100;62
63;100;63
64;100;64
65;100;65
66;100;66
67;100;67
68;100;68
69;100;69
70;100;70
71;100;71
72;100;72
73;100;73
74;100;74
75;100;75
76;100;76
77;100;77
78;100;78
79;100;79
80;100;80
81;100;81
82;100;82
83;100;83
84;100;84
85;100;85
86;100;86
87;100;87
88;100;88
89;100;89
90;100;90
91;100;91
92;100;92
93;100;93
94;100;94
95;100;95
96;100;96
97;100;97
98;100;98
99;100;99
100;100;126
101;100;160
102;100;169
103;100;177
104;100;153
105;100;206
106;100;198
107;100;188
108;100;214
109;100;186
110;100;210
111;100;217
112;100;209
113;100;212
114;100;229
115;100;249
116;100;283
117;100;256
118;100;243
119;100;255
120;100;285
121;100;349
122;100;295
123;100;259
124;100;287
125;100;329
126;100;332
127;100;332
128;100;292
129;100;317
130;100;344
131;100;337
132;100;367
133;100;336
134;100;332
135;100;395
136;100;379
137;100;339
138;100;351
139;100;345
140;100;396
141;100;413
142;100;339
143;100;449
144;100;368
145;100;367
146;100;348
147;100;396
148;100;380
149;100;343
150;100;468
151;100;457
152;100;444
153;100;497
154;100;405
155;100;370
156;100;404
157;100;411
158;100;468
159;100;570
160;100;523
161;100;439
162;100;479
163;100;463
164;100;538
165;100;404
166;100;444
167;100;490
168;100;415
169;100;486
170;100;467
171;100;482
172;100;382
173;100;546
174;100;532
175;100;478
176;100;526
177;100;516
178;100;505
179;100;471
180;100;526
181;100;629
182;100;502
183;100;464
184;100;556
185;100;628
186;100;606
187;100;504
188;100;551
189;100;600
190;100;563
191;100;619
192;100;527
193;100;592
194;100;548
195;100;581
196;100;620
197;100;587
198;100;562
199;100;701
200;100;667
201;100;620
202;100;643
203;100;711
204;100;600
205;100;665
206;100;663
207;100;636
208;100;683
209;100;565
210;100;795
211;100;721
212;100;764
213;100;698
214;100;558
215;100;716
216;100;798
217;100;760
218;100;683
219;100;735
220;100;683
221;100;701
222;100;706
223;100;640
224;100;690
225;100;820
226;100;688
227;100;605
228;100;817
229;100;738
230;100;856
231;100;960
232;100;783
233;100;700
234;100;748
235;100;740
236;100;808
237;100;870
238;100;845
239;100;978
240;100;855
241;100;759
242;100;812
243;100;726
244;100;887
245;100;763
246;100;714
247;100;865
248;100;706
249;100;937
250;100;926
251;100;850
252;100;801
253;100;1029
254;100;925
255;100;905
256;100;820
257;100;993
258;100;817
259;100;895
260;100;764
261;100;796
262;100;731
263;100;914
264;100;753
265;100;1018
266;100;934
267;100;992
268;100;846
269;100;934
270;100;795
271;100;906
272;100;852
273;100;962
274;100;910
275;100;927
276;100;1016
277;100;958
278;100;818
279;100;892
280;100;899
281;100;954
282;100;922
283;100;959
284;100;1132
285;100;1004
286;100;1025
287;100;1027
288;100;821
289;100;1262
290;100;1147
291;100;976
292;100;1126
293;100;1084
294;100;995
295;100;951
296;100;1002
297;100;938
298;100;1190
299;100;1245
300;100;1019
301;100;948
302;100;942
303;100;1053
304;100;1072
305;100;1268
306;100;1186
307;100;1006
308;100;1195
309;100;883
310;100;944
311;100;1089
312;100;1085
313;100;1060
314;100;1032
315;100;1230
316;100;1169
317;100;1011
318;100;1204
319;100;1111
320;100;1292
321;100;1039
322;100;1026
323;100;1279
324;100;1090
325;100;1074
326;100;1028
327;100;1275
328;100;1073
329;100;1223
330;100;1118
331;100;1109
332;100;1265
333;100;1128
334;100;1262
335;100;1120
336;100;1120
337;100;1282
338;100;1195
339;100;1098
340;100;1261
341;100;1334
342;100;1094
343;100;1275
344;100;1146
345;100;1070
346;100;1232
347;100;1206
348;100;1165
349;100;1186
350;100;1037
351;100;1280
352;100;1179
353;100;1150
354;100;1091
355;100;1349
356;100;1359
357;100;1334
358;100;1299
359;100;1353
360;100;1436
361;100;1326
362;100;1087
363;100;1739
364;100;1167
365;100;1342
366;100;1502
367;100;1095
368;100;1457
369;100;1314
370;100;1220
371;100;1186
372;100;1151
373;100;1421
374;100;1466
375;100;1244
376;100;1330
377;100;1308
378;100;1322
379;100;1153
380;100;1173
381;100;1347
382;100;1652
383;100;1133
384;100;1337
385;100;1443
386;100;1669
387;100;1518
388;100;1375
389;100;1543
390;100;1230
391;100;1372
392;100;1573
393;100;1377
394;100;1286
395;100;1481
396;100;1406
397;100;1526
398;100;1376
399;100;1514
400;100;1527
401;100;1372
402;100;1392
403;100;1322
404;100;1341
405;100;1616
406;100;1350
407;100;1576
408;100;1450
409;100;1496
410;100;1280
411;100;1444
412;100;1614
413;100;1478
414;100;1654
415;100;1562
416;100;1459
417;100;1608
418;100;1319
419;100;1507
420;100;1336
421;100;1492
422;100;1737
423;100;1653
424;100;1731
425;100;1641
426;100;1536
427;100;1506
428;100;1308
429;100;1357
430;100;1428
431;100;1874
432;100;1516
433;100;1949
434;100;1441
435;100;1781
436;100;1693
437;100;1685
438;100;1535
439;100;1343
440;100;1334
441;100;1498
442;100;1507
443;100;1598
444;100;1597
445;100;1317
446;100;1594
447;100;1841
448;100;1599
449;100;1537
450;100;1696
451;100;1926
452;100;1450
453;100;1693
454;100;1675
455;100;1661
456;100;1460
457;100;1558
458;100;1711
459;100;1953
460;100;2041
461;100;1528
462;100;1720
463;100;1596
464;100;1662
465;100;1591
