n;k;m
1;100;1
2;100;2
3;100;3
4;100;4
5;100;5
6;100;6
7;100;7
8;100;8
9;100;9
10;100;10
11;100;11
12;100;12
13;100;13
14;100;14
15;100;15
16;100;16
17;100;17
18;100;18
19;100;19
20;100;20
21;100;21
22;100;22
23;100;23
24;100;24
25;100;25
26;100;26
27;100;27
28;100;28
29;100;29
30;100;30
31;100;31
32;100;32
33;100;33
34;100;34
35;100;35
36;100;36
37;100;37
38;100;38
39;100;39
40;100;40
41;100;41
42;100;42
43;100;43
44;100;44
45;100;45
46;100;46
47;100;47
48;100;48
49;100;49
50;100;50
51;100;51
52;100;52
53;100;53
54;100;54
55;100;55
56;100;56
57;100;57
58;100;58
59;100;59
60;100;60
61;100;61
62;100;62
63;100;63
64;100;64
65;100;65
66;100;66
67;100;67
68;100;68
69;100;69
70;100;70
71;100;71
72;100;72
73;100;73
74;100;74
75;100;75
76;100;76
77;100;77
78;100;78
79;100;79
80;100;80
81;100;81
82;100;82
83;100;83
84;100;84
85;100;85
86;100;86
87;100;87
88;100;88
89;100;89
90;100;90
91;100;91
92;100;92
93;100;93
94;100;94
95;100;95
96;100;96
97;100;97
98;100;98
99;100;99
100;100;100
101;100;99
102;100;99
103;100;100
104;100;100
105;100;101
106;100;99
107;100;100
108;100;101
109;100;100
110;100;101
111;100;101
112;100;101
113;100;103
114;100;101
115;100;101
116;100;102
117;100;105
118;100;102
119;100;104
120;100;103
121;100;104
122;100;103
123;100;103
124;100;103
125;100;105
126;100;104
127;100;104
128;100;106
129;100;104
130;100;106
131;100;107
132;100;105
133;100;106
134;100;109
135;100;105
136;100;107
137;100;106
138;100;107
139;100;108
140;100;107
141;100;107
142;100;109
143;100;109
144;100;110
145;100;108
146;100;107
147;100;111
148;100;108
149;100;108
150;100;111
151;100;111
152;100;108
153;100;108
154;100;110
155;100;112
156;100;108
157;100;107
158;100;111
159;100;110
160;100;111
161;100;110
162;100;110
163;100;113
164;100;114
165;100;111
166;100;112
167;100;116
168;100;115
169;100;118
170;100;109
171;100;114
172;100;109
173;100;115
174;100;112
175;100;111
176;100;117
177;100;117
178;100;116
179;100;113
180;100;111
181;100;118
182;100;112
183;100;114
184;100;113
185;100;114
186;100;115
187;100;114
188;100;116
189;100;112
190;100;116
191;100;115
192;100;114
193;100;118
194;100;115
195;100;118
196;100;118
197;100;116
198;100;120
199;100;114
200;100;115
201;100;116
202;100;118
203;100;119
204;100;114
205;100;118
206;100;114
207;100;116
208;100;115
209;100;114
210;100;117
211;100;117
212;100;119
213;100;118
214;100;120
215;100;121
216;100;126
217;100;117
218;100;118
219;100;123
220;100;117
221;100;122
222;100;120
223;100;120
224;100;123
225;100;117
226;100;123
227;100;121
228;100;119
229;100;121
230;100;122
231;100;124
232;100;118
233;100;121
234;100;120
235;100;118
236;100;119
237;100;127
238;100;124
239;100;127
240;100;122
241;100;121
242;100;122
243;100;130
244;100;124
245;100;122
246;100;126
247;100;123
248;100;123
249;100;128
250;100;124
251;100;123
252;100;120
253;100;125
254;100;123
255;100;128
256;100;129
257;100;125
258;100;125
259;100;126
260;100;125
261;100;122
262;100;130
263;100;126
264;100;123
265;100;125
266;100;130
267;100;125
268;100;126
269;100;130
270;100;126
271;100;129
272;100;128
273;100;128
274;100;131
275;100;123
276;100;124
277;100;130
278;100;125
279;100;127
280;100;126
281;100;130
282;100;125
283;100;127
284;100;129
285;100;130
286;100;129
287;100;127
288;100;132
289;100;130
290;100;122
291;100;135
292;100;137
293;100;130
294;100;127
295;100;129
296;100;129
297;100;130
298;100;130
299;100;131
300;100;131
301;100;130
302;100;131
303;100;130
304;100;132
305;100;136
306;100;126
307;100;130
308;100;130
309;100;127
310;100;131
311;100;133
312;100;131
313;100;132
314;100;130
315;100;135
316;100;135
317;100;128
318;100;131
319;100;136
320;100;130
321;100;130
322;100;129
323;100;134
324;100;129
325;100;133
326;100;130
327;100;134
328;100;137
329;100;140
330;100;137
331;100;133
332;100;132
333;100;135
334;100;132
335;100;134
336;100;130
337;100;134
338;100;129
339;100;133
340;100;130
341;100;132
342;100;133
343;100;133
344;100;138
345;100;135
346;100;133
347;100;136
348;100;145
349;100;139
350;100;130
351;100;137
352;100;134
353;100;137
354;100;134
355;100;131
356;100;141
357;100;140
358;100;135
359;100;139
360;100;134
361;100;130
362;100;137
363;100;142
364;100;133
365;100;139
366;100;139
367;100;138
368;100;138
369;100;142
370;100;138
371;100;136
372;100;133
373;100;134
374;100;139
375;100;135
376;100;138
377;100;137
378;100;137
379;100;137
380;100;138
381;100;144
382;100;134
383;100;134
384;100;135
385;100;145
386;100;142
387;100;133
388;100;143
389;100;142
390;100;140
391;100;139
392;100;137
393;100;139
394;100;137
395;100;143
396;100;141
397;100;138
398;100;142
399;100;137
400;100;141
401;100;139
402;100;145
403;100;141
404;100;140
405;100;139
406;100;139
407;100;142
408;100;137
409;100;141
410;100;136
411;100;137
412;100;142
413;100;144
414;100;138
415;100;140
416;100;144
417;100;143
418;100;141
419;100;140
420;100;146
421;100;143
422;100;143
423;100;142
424;100;139
425;100;143
426;100;144
427;100;144
428;100;139
429;100;146
430;100;139
431;100;147
432;100;144
433;100;143
434;100;142
435;100;141
436;100;139
437;100;144
438;100;144
439;100;148
440;100;148
441;100;148
442;100;140
443;100;143
444;100;140
445;100;145
446;100;145
447;100;143
448;100;145
449;100;143
450;100;144
451;100;147
452;100;145
453;100;148
454;100;144
455;100;143
456;100;145
457;100;144
458;100;146
459;100;141
460;100;144
461;100;149
462;100;142
463;100;147
464;100;143
465;100;146
466;100;146
467;100;153
468;100;145
469;100;148
470;100;142
471;100;143
472;100;147
473;100;149
474;100;147
475;100;137
476;100;144
477;100;143
478;100;145
479;100;149
480;100;147
481;100;142
482;100;146
483;100;151
484;100;148
485;100;149
486;100;153
487;100;143
488;100;147
489;100;146
490;100;147
491;100;144
492;100;147
493;100;145
494;100;148
