n;k;m
1;100;1
2;100;2
3;100;3
4;100;4
5;100;5
6;100;6
7;100;7
8;100;8
9;100;9
10;100;10
11;100;11
12;100;12
13;100;13
14;100;14
15;100;15
16;100;16
17;100;17
18;100;18
19;100;19
20;100;20
21;100;21
22;100;22
23;100;23
24;100;24
25;100;25
26;100;26
27;100;27
28;100;28
29;100;29
30;100;30
31;100;31
32;100;32
33;100;33
34;100;34
35;100;35
36;100;36
37;100;37
38;100;38
39;100;39
40;100;40
41;100;41
42;100;42
43;100;43
44;100;44
45;100;45
46;100;46
47;100;47
48;100;48
49;100;49
50;100;50
51;100;51
52;100;52
53;100;53
54;100;54
55;100;55
56;100;56
57;100;57
58;100;58
59;100;59
60;100;60
61;100;61
62;100;62
63;100;63
64;100;64
65;100;65
66;100;66
67;100;67
68;100;68
69;100;69
70;100;70
71;100;71
72;100;72
73;100;73
74;100;74
75;100;75
76;100;76
77;100;77
78;100;78
79;100;79
80;100;80
81;100;81
82;100;81
83;100;83
84;100;84
85;100;85
86;100;86
87;100;87
88;100;88
89;100;89
90;100;90
91;100;91
92;100;92
93;100;93
94;100;93
95;100;95
96;100;96
97;100;97
98;100;98
99;100;99
100;100;101
101;100;99
102;100;99
103;100;104
104;100;103
105;100;106
106;100;102
107;100;105
108;100;103
109;100;106
110;100;110
111;100;113
112;100;114
113;100;112
114;100;115
115;100;112
116;100;111
117;100;115
118;100;113
119;100;114
120;100;116
121;100;116
122;100;121
123;100;114
124;100;119
125;100;126
126;100;134
127;100;127
128;100;119
129;100;135
130;100;132
131;100;133
132;100;135
133;100;135
134;100;141
135;100;143
136;100;135
137;100;139
138;100;129
139;100;133
140;100;141
141;100;134
142;100;141
143;100;143
144;100;141
145;100;152
146;100;137
147;100;134
148;100;158
149;100;151
150;100;145
151;100;157
152;100;157
153;100;156
154;100;146
155;100;153
156;100;155
157;100;144
158;100;164
159;100;159
160;100;157
161;100;158
162;100;147
163;100;154
164;100;164
165;100;162
166;100;161
167;100;164
168;100;172
169;100;173
170;100;170
171;100;158
172;100;149
173;100;171
174;100;171
175;100;159
176;100;187
177;100;169
178;100;184
179;100;154
180;100;170
181;100;198
182;100;171
183;100;178
184;100;192
185;100;188
186;100;188
187;100;191
188;100;172
189;100;196
190;100;172
191;100;177
192;100;167
193;100;207
194;100;195
195;100;184
196;100;188
197;100;189
198;100;197
199;100;213
200;100;197
201;100;171
202;100;210
203;100;186
204;100;200
205;100;205
206;100;217
207;100;190
208;100;207
209;100;185
210;100;211
211;100;210
212;100;217
213;100;211
214;100;210
215;100;198
216;100;205
217;100;212
218;100;220
219;100;212
220;100;208
221;100;212
222;100;221
223;100;214
224;100;213
225;100;236
226;100;225
227;100;221
228;100;210
229;100;215
230;100;194
231;100;263
232;100;227
233;100;265
234;100;237
235;100;230
236;100;220
237;100;243
238;100;251
239;100;276
240;100;267
241;100;230
242;100;243
243;100;250
244;100;224
245;100;238
246;100;240
247;100;253
248;100;255
249;100;283
250;100;255
251;100;269
252;100;224
253;100;244
254;100;250
255;100;244
256;100;255
257;100;241
258;100;255
259;100;244
260;100;256
261;100;241
262;100;249
263;100;268
264;100;237
265;100;265
266;100;277
267;100;281
268;100;263
269;100;266
270;100;229
271;100;286
272;100;308
273;100;267
274;100;278
275;100;291
276;100;229
277;100;305
278;100;252
279;100;255
280;100;322
281;100;265
282;100;227
283;100;266
284;100;279
285;100;279
286;100;304
287;100;290
288;100;249
289;100;322
290;100;282
291;100;290
292;100;353
293;100;264
294;100;287
295;100;268
296;100;287
297;100;300
298;100;268
299;100;325
300;100;314
301;100;323
302;100;262
303;100;325
304;100;260
305;100;378
306;100;312
307;100;346
308;100;322
309;100;312
310;100;286
311;100;355
312;100;310
313;100;297
314;100;301
315;100;338
316;100;332
317;100;303
318;100;328
319;100;286
320;100;293
321;100;304
322;100;323
323;100;351
324;100;323
325;100;299
326;100;362
327;100;302
328;100;342
329;100;379
330;100;305
331;100;322
332;100;338
333;100;352
334;100;311
335;100;312
336;100;276
337;100;356
338;100;372
339;100;305
340;100;347
341;100;408
342;100;280
343;100;380
344;100;343
345;100;376
346;100;333
347;100;356
348;100;368
349;100;345
350;100;360
351;100;357
352;100;333
353;100;308
354;100;378
355;100;393
356;100;352
357;100;420
358;100;398
359;100;384
360;100;386
361;100;313
362;100;323
363;100;348
364;100;377
365;100;368
366;100;426
367;100;366
368;100;392
369;100;374
370;100;357
371;100;310
372;100;363
373;100;361
374;100;359
375;100;352
376;100;319
377;100;360
378;100;375
379;100;344
380;100;377
381;100;359
382;100;427
383;100;337
384;100;450
385;100;367
386;100;395
387;100;365
388;100;399
389;100;434
390;100;360
391;100;377
392;100;378
393;100;451
394;100;360
395;100;352
396;100;413
397;100;416
398;100;438
399;100;418
400;100;414
401;100;451
402;100;424
403;100;431
404;100;414
405;100;489
406;100;336
407;100;371
408;100;392
409;100;487
410;100;311
411;100;407
412;100;432
413;100;443
414;100;413
415;100;419
416;100;423
417;100;488
418;100;427
419;100;395
420;100;464
421;100;390
422;100;497
423;100;350
424;100;424
425;100;400
426;100;437
427;100;436
428;100;409
429;100;429
430;100;340
431;100;438
432;100;465
433;100;451
434;100;381
435;100;470
436;100;495
437;100;544
438;100;471
439;100;426
440;100;395
441;100;437
442;100;403
443;100;441
444;100;347
445;100;426
446;100;483
447;100;495
448;100;482
449;100;488
450;100;417
451;100;462
452;100;410
453;100;480
454;100;395
455;100;391
456;100;465
457;100;442
458;100;507
459;100;514
460;100;512
461;100;420
462;100;490
463;100;451
464;100;439
465;100;520
466;100;456
467;100;417
468;100;407
469;100;429
470;100;451
471;100;423
472;100;456
473;100;453
474;100;543
475;100;444
476;100;419
477;100;475
478;100;523
479;100;459
480;100;459
481;100;524
482;100;448
483;100;531
484;100;467
485;100;462
486;100;529
487;100;483
488;100;474
489;100;457
490;100;463
491;100;470
492;100;481
493;100;582
494;100;518
