n;k;m
1;100;1
2;100;2
3;100;3
4;100;4
5;100;5
6;100;6
7;100;7
8;100;8
9;100;9
10;100;10
11;100;11
12;100;12
13;100;12
14;100;14
15;100;13
16;100;16
17;100;16
18;100;18
19;100;18
20;100;20
21;100;20
22;100;22
23;100;23
24;100;23
25;100;25
26;100;26
27;100;26
28;100;27
29;100;29
30;100;30
31;100;31
32;100;27
33;100;31
34;100;30
35;100;33
36;100;33
37;100;36
38;100;36
39;100;37
40;100;39
41;100;39
42;100;37
43;100;41
44;100;42
45;100;42
46;100;39
47;100;44
48;100;43
49;100;46
50;100;47
51;100;45
52;100;50
53;100;47
54;100;49
55;100;53
56;100;52
57;100;51
58;100;53
59;100;54
60;100;51
61;100;54
62;100;52
63;100;58
64;100;52
65;100;57
66;100;60
67;100;56
68;100;62
69;100;59
70;100;58
71;100;60
72;100;63
73;100;65
74;100;66
75;100;69
76;100;71
77;100;66
78;100;68
79;100;65
80;100;66
81;100;67
82;100;68
83;100;72
84;100;71
85;100;73
86;100;69
87;100;74
88;100;75
89;100;76
90;100;75
91;100;74
92;100;80
93;100;76
94;100;75
95;100;83
96;100;81
97;100;82
98;100;85
99;100;85
100;100;83
101;100;92
102;100;81
103;100;84
104;100;83
105;100;88
106;100;85
107;100;88
108;100;90
109;100;91
110;100;93
111;100;93
112;100;91
113;100;85
114;100;93
115;100;87
116;100;99
117;100;97
118;100;93
119;100;95
120;100;105
121;100;93
122;100;97
123;100;90
124;100;100
125;100;109
126;100;96
127;100;102
128;100;105
129;100;100
130;100;101
131;100;102
132;100;105
133;100;107
134;100;111
135;100;107
136;100;103
137;100;119
138;100;106
139;100;104
140;100;109
141;100;107
142;100;107
143;100;104
144;100;108
145;100;114
146;100;112
147;100;100
148;100;110
149;100;113
150;100;119
151;100;113
152;100;113
153;100;113
154;100;118
155;100;121
156;100;121
157;100;116
158;100;121
159;100;117
160;100;114
161;100;129
162;100;120
163;100;128
164;100;131
165;100;128
166;100;123
167;100;123
168;100;136
169;100;131
170;100;124
171;100;131
172;100;123
173;100;124
174;100;122
175;100;130
176;100;131
177;100;123
178;100;131
179;100;122
180;100;131
181;100;148
182;100;122
183;100;131
184;100;131
185;100;123
186;100;137
187;100;129
188;100;127
189;100;141
190;100;148
191;100;126
192;100;134
193;100;134
194;100;130
195;100;129
196;100;128
197;100;143
198;100;134
199;100;132
200;100;143
201;100;134
202;100;142
203;100;149
204;100;143
205;100;146
206;100;143
207;100;134
208;100;136
209;100;140
210;100;143
211;100;149
212;100;143
213;100;142
214;100;138
215;100;136
216;100;139
217;100;139
218;100;147
219;100;141
220;100;144
221;100;148
222;100;141
223;100;143
224;100;149
225;100;148
226;100;162
227;100;149
228;100;146
229;100;131
230;100;149
231;100;171
232;100;149
233;100;149
234;100;152
235;100;150
236;100;151
237;100;153
238;100;162
239;100;164
240;100;156
241;100;140
242;100;158
243;100;158
244;100;164
245;100;156
246;100;168
247;100;151
248;100;159
249;100;152
250;100;159
251;100;170
252;100;157
253;100;164
254;100;153
255;100;158
256;100;158
257;100;154
258;100;164
259;100;164
260;100;164
261;100;157
262;100;165
263;100;170
264;100;147
265;100;150
266;100;157
267;100;173
268;100;172
269;100;166
270;100;172
271;100;158
272;100;174
273;100;160
274;100;162
275;100;177
276;100;166
277;100;178
278;100;166
279;100;174
280;100;170
281;100;172
282;100;163
283;100;184
284;100;157
285;100;177
286;100;170
287;100;178
288;100;165
289;100;172
290;100;184
291;100;178
292;100;196
293;100;165
294;100;172
295;100;182
296;100;170
297;100;173
298;100;184
299;100;168
300;100;167
301;100;189
302;100;174
303;100;183
304;100;178
305;100;171
306;100;167
307;100;171
308;100;187
309;100;187
310;100;177
311;100;194
312;100;171
313;100;179
314;100;174
315;100;167
316;100;189
317;100;184
318;100;186
319;100;189
320;100;183
321;100;187
322;100;175
323;100;171
324;100;184
325;100;182
326;100;183
327;100;184
328;100;190
329;100;186
330;100;189
331;100;182
332;100;174
333;100;178
334;100;187
335;100;181
336;100;171
337;100;187
338;100;206
339;100;186
340;100;204
341;100;201
342;100;177
343;100;206
344;100;193
345;100;181
346;100;183
347;100;191
348;100;183
349;100;187
350;100;201
351;100;199
352;100;181
353;100;178
354;100;183
355;100;187
356;100;206
357;100;216
358;100;199
359;100;189
360;100;194
361;100;179
362;100;190
363;100;183
364;100;183
365;100;196
366;100;196
367;100;187
368;100;197
369;100;204
370;100;201
371;100;196
372;100;181
373;100;202
374;100;199
375;100;191
376;100;199
377;100;201
378;100;191
379;100;190
380;100;193
381;100;214
382;100;191
383;100;189
384;100;193
385;100;190
386;100;211
387;100;196
388;100;201
389;100;207
390;100;191
391;100;206
392;100;194
393;100;216
394;100;189
395;100;193
396;100;209
397;100;194
398;100;191
399;100;193
400;100;211
401;100;191
402;100;199
403;100;196
404;100;218
405;100;191
406;100;206
407;100;214
408;100;206
409;100;218
410;100;183
411;100;199
412;100;207
413;100;218
414;100;207
415;100;207
416;100;222
417;100;199
418;100;209
419;100;204
420;100;214
421;100;193
422;100;194
423;100;207
424;100;211
425;100;204
426;100;211
427;100;209
428;100;194
429;100;202
430;100;202
431;100;209
432;100;222
433;100;220
434;100;196
435;100;209
436;100;212
437;100;207
438;100;222
439;100;216
440;100;207
441;100;220
442;100;206
443;100;211
444;100;206
445;100;209
446;100;211
447;100;226
448;100;202
449;100;211
450;100;214
451;100;202
452;100;204
453;100;211
454;100;206
455;100;214
456;100;214
457;100;206
458;100;212
459;100;207
460;100;218
461;100;207
462;100;211
463;100;220
464;100;226
465;100;220
466;100;201
467;100;218
468;100;216
469;100;204
470;100;204
471;100;218
472;100;206
473;100;214
474;100;212
475;100;207
476;100;209
477;100;228
478;100;224
479;100;216
480;100;206
481;100;241
482;100;228
483;100;222
484;100;209
485;100;214
486;100;204
487;100;206
488;100;232
489;100;211
490;100;216
491;100;228
492;100;218
493;100;207
494;100;224
