"weight";"word";"color";"url"
"33";"abated";"";""
"33";"abatement";"";""
"7";"abhorred";"";""
"33";"abjure";"";""
"16";"abode";"";""
"33";"abominable";"";""
"7";"absolute";"";""
"7";"abuse";"";""
"33";"abused";"";""
"16";"abuses";"";""
"7";"accent";"";""
"33";"accents";"";""
"33";"accommodate";"";""
"16";"accuse";"";""
"33";"acknowledge";"";""
"14";"acquaint";"";""
"33";"acre";"";""
"0";"action";"";""
"7";"add";"";""
"14";"addition";"";""
"33";"additions";"";""
"16";"address";"";""
"16";"admirable";"";""
"33";"adulterers";"";""
"16";"advantage";"";""
"33";"advantages";"";""
"16";"adversary";"";""
"35";"advise";"";""
"16";"afar";"";""
"16";"affect";"";""
"0";"affection";"";""
"33";"affectionate";"";""
"16";"afflict";"";""
"21";"affliction";"";""
"16";"afore";"";""
"0";"age";"";""
"67";"aged";"";""
"33";"aidant";"";""
"0";"air";"";""
"33";"ajax";"";""
"7";"alack";"";""
"67";"alarum";"";""
"135";"albany";"";""
"33";"albion";"";""
"33";"alight";"";""
"14";"alive";"";""
"33";"allot";"";""
"16";"allowance";"";""
"7";"aloof";"";""
"33";"alteration";"";""
"16";"altitude";"";""
"50";"altogether";"";""
"7";"ambition";"";""
"7";"amorous";"";""
"67";"ample";"";""
"33";"amplify";"";""
"33";"anatomize";"";""
"33";"anchoring";"";""
"0";"ancient";"";""
"7";"anger";"";""
"33";"angler";"";""
"33";"animal";"";""
"33";"anointed";"";""
"0";"answer";"";""
"33";"answered";"";""
"33";"answers";"";""
"33";"antipathy";"";""
"28";"appears";"";""
"33";"appertains";"";""
"33";"apply";"";""
"33";"appointed";"";""
"14";"apprehend";"";""
"33";"approach";"";""
"7";"approve";"";""
"67";"approves";"";""
"14";"apt";"";""
"33";"arbitrement";"";""
"33";"arch";"";""
"7";"argument";"";""
"0";"arm";"";""
"0";"arms";"";""
"67";"army";"";""
"67";"aroint";"";""
"50";"arraign";"";""
"16";"arrant";"";""
"33";"arrest";"";""
"16";"arrives";"";""
"0";"art";"";""
"16";"asleep";"";""
"14";"ass";"";""
"16";"asses";"";""
"16";"assume";"";""
"33";"assurance";"";""
"0";"assure";"";""
"7";"assured";"";""
"33";"attempting";"";""
"0";"attend";"";""
"33";"attendance";"";""
"33";"attended";"";""
"7";"attending";"";""
"33";"atwain";"";""
"0";"aught";"";""
"33";"auricular";"";""
"16";"auspicious";"";""
"33";"authorities";"";""
"33";"authority";"";""
"33";"avert";"";""
"16";"avoid";"";""
"16";"avouch";"";""
"33";"avouched";"";""
"0";"awake";"";""
"33";"awork";"";""
"33";"aye";"";""
"16";"babe";"";""
"16";"babes";"";""
"0";"bad";"";""
"67";"badness";"";""
"33";"bags";"";""
"33";"bald";"";""
"33";"ballow";"";""
"33";"balm";"";""
"33";"bandy";"";""
"67";"banishment";"";""
"33";"banners";"";""
"33";"bar";"";""
"16";"barbarous";"";""
"0";"bare";"";""
"0";"bark";"";""
"21";"base";"";""
