"weight";"word";"color";"url"
"39";"abandon";"";""
"117";"abhor";"";""
"78";"abilities";"";""
"19";"abode";"";""
"39";"absence";"";""
"19";"absent";"";""
"16";"absolute";"";""
"40";"abuse";"";""
"19";"abused";"";""
"39";"abuser";"";""
"8";"accent";"";""
"39";"acceptance";"";""
"78";"accident";"";""
"78";"accidents";"";""
"39";"accommodation";"";""
"39";"accountant";"";""
"39";"acerb";"";""
"39";"aches";"";""
"39";"acknown";"";""
"19";"acquaintance";"";""
"39";"acquainted";"";""
"0";"action";"";""
"19";"actions";"";""
"39";"actual";"";""
"8";"add";"";""
"39";"addiction";"";""
"16";"addition";"";""
"19";"admirable";"";""
"39";"adopt";"";""
"58";"advantage";"";""
"39";"adversities";"";""
"19";"advice";"";""
"8";"advise";"";""
"39";"advocation";"";""
"39";"aerial";"";""
"19";"affair";"";""
"58";"affairs";"";""
"19";"affect";"";""
"0";"affection";"";""
"19";"affright";"";""
"39";"affrighted";"";""
"0";"age";"";""
"39";"agnize";"";""
"19";"aim";"";""
"0";"air";"";""
"39";"alacrity";"";""
"19";"alarm";"";""
"39";"alas";"";""
"39";"albeit";"";""
"39";"aleppo";"";""
"8";"alive";"";""
"19";"allowed";"";""
"39";"aloud";"";""
"19";"altogether";"";""
"19";"amazed";"";""
"8";"ambition";"";""
"39";"amen";"";""
"39";"amend";"";""
"39";"amiable";"";""
"39";"amiss";"";""
"8";"amorous";"";""
"0";"ancient";"";""
"39";"angel";"";""
"8";"anger";"";""
"8";"anon";"";""
"0";"answer";"";""
"39";"answerable";"";""
"39";"anticipates";"";""
"19";"antique";"";""
"39";"antres";"";""
"78";"appearance";"";""
"16";"appears";"";""
"19";"appetite";"";""
"16";"apprehend";"";""
"39";"apprehensions";"";""
"32";"approve";"";""
"39";"approved";"";""
"16";"apt";"";""
"39";"arabian";"";""
"8";"argues";"";""
"39";"ariseth";"";""
"0";"arm";"";""
"0";"arms";"";""
"39";"arraigning";"";""
"39";"arrived";"";""
"0";"art";"";""
"39";"article";"";""
"39";"arts";"";""
"8";"ass";"";""
"39";"assails";"";""
"39";"assault";"";""
"19";"assay";"";""
"19";"assays";"";""
"19";"asses";"";""
"39";"assign";"";""
"39";"assist";"";""
"0";"assure";"";""
"8";"assured";"";""
"39";"atone";"";""
"39";"attach";"";""
"117";"attempt";"";""
"0";"attend";"";""
"19";"attendant";"";""
"39";"attendants";"";""
"8";"attending";"";""
"8";"attends";"";""
"0";"aught";"";""
"39";"auld";"";""
"39";"authority";"";""
"0";"awake";"";""
"39";"awhile";"";""
"39";"awooing";"";""
"19";"babes";"";""
"0";"bad";"";""
"48";"bade";"";""
"39";"balance";"";""
"78";"balmy";"";""
"39";"banish";"";""
"19";"bank";"";""
"39";"barbarian";"";""
"19";"barbarous";"";""
"19";"barbary";"";""
"0";"bare";"";""
"8";"barefoot";"";""
"0";"bark";"";""
"32";"base";"";""
"39";"baseness";"";""
"19";"battle";"";""
"8";"bawd";"";""
"8";"bawdy";"";""
"39";"bay";"";""
"0";"bear";"";""
"0";"beard";"";""
"39";"bearded";"";""
"16";"bearing";"";""
"0";"bears";"";""
"0";"beast";"";""
"32";"beat";"";""
"0";"beaten";"";""
"24";"beauty";"";""
"19";"beckons";"";""
"0";"bed";"";""
"39";"bedchamber";"";""
"39";"beds";"";""
"0";"beg";"";""
"8";"began";"";""
"0";"beggar";"";""
"19";"beggarly";"";""
"8";"begot";"";""
"24";"beguile";"";""
"39";"beguiled";"";""
"19";"behavior";"";""
"16";"behold";"";""
"39";"belch";"";""
"78";"belie";"";""
"19";"belief";"";""
"8";"bell";"";""
"19";"bells";"";""
"19";"bending";"";""
"39";"beneath";"";""
"39";"beneficial";"";""
"8";"benefit";"";""
"39";"bereft";"";""
"0";"beseech";"";""
"16";"beshrew";"";""
"19";"besort";"";""
"16";"bestow";"";""
"39";"bestows";"";""
"8";"bethink";"";""
"39";"betimes";"";""
"19";"betray";"";""
"39";"betwixt";"";""
"0";"bid";"";""
"8";"big";"";""
"39";"billow";"";""
"39";"bind";"";""
"39";"birdlime";"";""
"8";"birth";"";""
"0";"bitter";"";""
"0";"black";"";""
"39";"blacker";"";""
"19";"blackest";"";""
"39";"blackness";"";""
"24";"blame";"";""
"8";"blank";"";""
"8";"blast";"";""
"39";"blazoning";"";""
"16";"bleed";"";""
"0";"bless";"";""
"24";"blessed";"";""
"8";"blest";"";""
"8";"blind";"";""
"19";"bliss";"";""
"0";"blood";"";""
"0";"bloody";"";""
"39";"blossom";"";""
"32";"blow";"";""
"16";"blown";"";""
"19";"blue";"";""
"19";"board";"";""
"19";"boarded";"";""
"39";"boasting";"";""
"19";"boat";"";""
"39";"bode";"";""
"8";"bodies";"";""
"39";"bodily";"";""
"39";"boding";"";""
"0";"body";"";""
"39";"boisterous";"";""
"0";"bold";"";""
"39";"bolster";"";""
"39";"bombast";"";""
"19";"bond";"";""
"8";"book";"";""
"39";"bookish";"";""
"39";"bootless";"";""
"0";"born";"";""
"0";"borne";"";""
"0";"bosom";"";""
"8";"bought";"";""
"0";"bound";"";""
"78";"bounteous";"";""
"39";"boyish";"";""
"78";"brabantio";"";""
"19";"brace";"";""
"0";"brain";"";""
"16";"brains";"";""
"0";"brave";"";""
"19";"bravery";"";""
"39";"brawl";"";""
"19";"bread";"";""
"0";"break";"";""
"8";"breaks";"";""
"78";"breast";"";""
"0";"breath";"";""
"8";"breathe";"";""
"19";"breaths";"";""
"39";"breeches";"";""
"24";"breed";"";""
"8";"breeding";"";""
"19";"breeds";"";""
"19";"bride";"";""
"19";"bright";"";""
"39";"brimful";"";""
"0";"bring";"";""
"39";"broil";"";""
"8";"broke";"";""
"0";"broken";"";""
"0";"brother";"";""
"8";"brothers";"";""
"0";"brought";"";""
"0";"brow";"";""
"16";"build";"";""
"0";"burn";"";""
"0";"burning";"";""
"0";"business";"";""
"24";"busy";"";""
"19";"buys";"";""
"39";"cables";"";""
"39";"caesar";"";""
"19";"calling";"";""
"0";"calls";"";""
"78";"canakin";"";""
"39";"cannibals";"";""
"0";"canst";"";""
"19";"capable";"";""
"39";"cape";"";""
"19";"captains";"";""
"39";"captivity";"";""
"24";"care";"";""
"19";"carefully";"";""
"39";"carnal";"";""
"8";"carried";"";""
"19";"carve";"";""
"0";"case";"";""
"39";"cases";"";""
"1997";"cassio";"";""
"0";"cast";"";""
"0";"catch";"";""
"39";"catechize";"";""
"78";"cats";"";""
"39";"celebration";"";""
"16";"censure";"";""
"39";"chains";"";""
"19";"chair";"";""
"39";"challenge";"";""
"0";"chamber";"";""
"39";"chamberers";"";""
"0";"chance";"";""
"0";"change";"";""
"39";"changeable";"";""
"19";"chaos";"";""
"0";"charge";"";""
"78";"charged";"";""
"19";"charity";"";""
"39";"charm";"";""
"19";"charms";"";""
"39";"charter";"";""
"39";"chaste";"";""
"19";"check";"";""
"39";"chid";"";""
"39";"chidden";"";""
"8";"chide";"";""
"39";"chides";"";""
"0";"child";"";""
"39";"choke";"";""
"0";"choose";"";""
"39";"chop";"";""
"78";"chose";"";""
"16";"christian";"";""
"39";"chronicle";"";""
"39";"cinders";"";""
"39";"circumcised";"";""
"39";"circumscription";"";""
"16";"circumstance";"";""
"39";"cistern";"";""
"19";"citizens";"";""
"39";"civil";"";""
"39";"clamors";"";""
"19";"clasps";"";""
"39";"clean";"";""
"8";"clear";"";""
"39";"climate";"";""
"8";"climb";"";""
"39";"clink";"";""
"39";"clip";"";""
"19";"cloak";"";""
"39";"clog";"";""
"39";"clogs";"";""
"0";"close";"";""
"19";"clothe";"";""
"39";"coat";"";""
"39";"coldness";"";""
"0";"comfort";"";""
"39";"comforts";"";""
"0";"coming";"";""
"40";"command";"";""
"39";"commanded";"";""
"39";"commander";"";""
"8";"commands";"";""
"0";"commend";"";""
"0";"commission";"";""
"0";"common";"";""
"39";"commonly";"";""
"19";"companions";"";""
"39";"company";"";""
"39";"compass";"";""
"39";"compassing";"";""
"39";"compel";"";""
"39";"complement";"";""
"8";"complete";"";""
"19";"complexion";"";""
"19";"comply";"";""
"19";"composition";"";""
"19";"compulsive";"";""
"39";"conceits";"";""
"39";"conception";"";""
"78";"concerns";"";""
"78";"condition";"";""
"24";"conduct";"";""
"0";"confess";"";""
"39";"confine";"";""
"39";"confirm";"";""
"39";"confirmations";"";""
"39";"congregated";"";""
"19";"conjunctive";"";""
"58";"conscience";"";""
"39";"conscionable";"";""
"8";"consent";"";""
"39";"consequence";"";""
"39";"conspire";"";""
"39";"construe";"";""
"39";"consuls";"";""
"0";"content";"";""
"39";"contention";"";""
"39";"continuate";"";""
"19";"continue";"";""
"19";"contract";"";""
"19";"control";"";""
"39";"conveniency";"";""
"19";"conversation";"";""
"19";"converse";"";""
"19";"conveyance";"";""
"39";"convinced";"";""
"8";"cool";"";""
"39";"cope";"";""
"8";"cords";"";""
"19";"corner";"";""
"39";"corrigible";"";""
"39";"corrupt";"";""
"16";"corrupted";"";""
"16";"cost";"";""
"16";"couch";"";""
"8";"couldst";"";""
"39";"council";"";""
"0";"counsel";"";""
"8";"counterfeit";"";""
"0";"country";"";""
"39";"countryman";"";""
"39";"coursers";"";""
"39";"courses";"";""
"24";"court";"";""
"19";"courtesy";"";""
"8";"cousin";"";""
"39";"cousins";"";""
"39";"covered";"";""
"39";"cozening";"";""
"8";"crack";"";""
"39";"craftily";"";""
"8";"crave";"";""
"19";"creation";"";""
"0";"creature";"";""
"16";"creatures";"";""
"19";"credit";"";""
"19";"credulous";"";""
"0";"cries";"";""
"19";"crime";"";""
"8";"crown";"";""
"0";"cruel";"";""
"39";"cruelty";"";""
"16";"crying";"";""
"117";"cuckold";"";""
"8";"cue";"";""
"0";"cunning";"";""
"0";"cup";"";""
"19";"cupid";"";""
"0";"cure";"";""
"19";"curled";"";""
"78";"current";"";""
"0";"curse";"";""
"8";"cursed";"";""
"19";"curtains";"";""
"8";"custom";"";""
"0";"cut";"";""
"8";"cuts";"";""
"352";"cyprus";"";""
"39";"daffest";"";""
"19";"daily";"";""
"39";"dam";"";""
"39";"dames";"";""
"97";"damn";"";""
"39";"damnation";"";""
"0";"damned";"";""
"39";"dances";"";""
"19";"dane";"";""
"8";"danger";"";""
"0";"dangerous";"";""
"78";"dangers";"";""
"0";"dark";"";""
"39";"darling";"";""
"39";"darlings";"";""
"19";"dart";"";""
"0";"daughter";"";""
"39";"daws";"";""
"0";"day";"";""
"0";"days";"";""
"0";"dead";"";""
"8";"deadly";"";""
"39";"dealest";"";""
"19";"dealt";"";""
"0";"dear";"";""
"0";"dearest";"";""
"0";"death";"";""
"39";"debitor";"";""
"78";"deceive";"";""
"39";"deceives";"";""
"24";"deed";"";""
"0";"deeds";"";""
"39";"defeat";"";""
"19";"defective";"";""
"39";"defence";"";""
"32";"defend";"";""
"19";"degree";"";""
"48";"delicate";"";""
"8";"delight";"";""
"78";"delighted";"";""
"0";"deliver";"";""
"39";"deluding";"";""
"16";"demand";"";""
"39";"demerits";"";""
"39";"demonstrable";"";""
"78";"demonstrate";"";""
"19";"denies";"";""
"8";"denote";"";""
"39";"denoted";"";""
"39";"denotement";"";""
"0";"deny";"";""
"19";"depend";"";""
"19";"depends";"";""
"19";"depth";"";""
"39";"depute";"";""
"39";"deputing";"";""
"39";"description";"";""
"19";"descry";"";""
"783";"desdemona";"";""
"39";"deserts";"";""
"19";"deserve";"";""
"78";"deserving";"";""
"39";"designment";"";""
"0";"desire";"";""
"58";"desires";"";""
"0";"desperate";"";""
"78";"despise";"";""
"16";"despised";"";""
"39";"destiny";"";""
"39";"destruction";"";""
"39";"determinate";"";""
"39";"devesting";"";""
"39";"device";"";""
"56";"devil";"";""
"39";"devilish";"";""
"117";"devils";"";""
"0";"devise";"";""
"39";"devoted";"";""
"19";"devotion";"";""
"19";"devour";"";""
"8";"dew";"";""
"19";"dial";"";""
"0";"didst";"";""
"0";"die";"";""
"19";"died";"";""
"0";"dies";"";""
"19";"diet";"";""
"39";"difficult";"";""
"39";"dilatory";"";""
"39";"dine";"";""
"19";"dinner";"";""
"8";"dire";"";""
"16";"direct";"";""
"19";"direction";"";""
"39";"disastrous";"";""
"19";"discarded";"";""
"39";"discern";"";""
"39";"discharge";"";""
"19";"disclose";"";""
"39";"discontented";"";""
"19";"discords";"";""
"58";"discourse";"";""
"8";"discover";"";""
"19";"discreet";"";""
"39";"disembark";"";""
"39";"dislikes";"";""
"39";"disloyal";"";""
"117";"dismiss";"";""
"39";"displanting";"";""
"39";"displease";"";""
"39";"displeasure";"";""
"39";"disports";"";""
"0";"disposition";"";""
"39";"disprove";"";""
"39";"disputed";"";""
"39";"disrelish";"";""
"39";"distempering";"";""
"39";"distinctly";"";""
"19";"distinguish";"";""
"39";"distract";"";""
"39";"distressful";"";""
"8";"divided";"";""
"8";"divine";"";""
"19";"divinity";"";""
"39";"division";"";""
"19";"divorce";"";""
"0";"dog";"";""
"19";"domestic";"";""
"16";"door";"";""
"0";"doors";"";""
"0";"dost";"";""
"19";"dotage";"";""
"19";"dote";"";""
"19";"dotes";"";""
"0";"doth";"";""
"19";"doting";"";""
"0";"double";"";""
"0";"doubt";"";""
"39";"doubtless";"";""
"39";"downright";"";""
"8";"dozen";"";""
"8";"dram";"";""
"0";"draw";"";""
"8";"dread";"";""
"0";"dreadful";"";""
"8";"dream";"";""
"8";"drew";"";""
"39";"dries";"";""
"0";"drink";"";""
"0";"drinks";"";""
"19";"driven";"";""
"19";"driving";"";""
"32";"drop";"";""
"8";"drops";"";""
"78";"drown";"";""
"19";"drowned";"";""
"39";"drowning";"";""
"19";"drowsy";"";""
"8";"drugs";"";""
"32";"drunk";"";""
"39";"drunkenness";"";""
"39";"duck";"";""
"195";"duke";"";""
"0";"dull";"";""
"39";"dullness";"";""
"19";"duteous";"";""
"16";"duties";"";""
"24";"duty";"";""
"19";"dwell";"";""
"0";"ear";"";""
"39";"earliest";"";""
"19";"early";"";""
"39";"earn";"";""
"16";"earnest";"";""
"8";"ears";"";""
"0";"earth";"";""
"8";"ease";"";""
"39";"easily";"";""
"8";"east";"";""
"39";"easy";"";""
"8";"eat";"";""
"39";"eaten";"";""
"8";"ebb";"";""
"39";"echoes";"";""
"39";"eclipse";"";""
"19";"edified";"";""
"39";"education";"";""
"39";"egregiously";"";""
"39";"egyptian";"";""
"78";"elements";"";""
"39";"embraced";"";""
"117";"emilia";"";""
"39";"eminently";"";""
"19";"employ";"";""
"39";"encave";"";""
"39";"enchafed";"";""
"39";"enchanted";"";""
"19";"ended";"";""
"0";"endure";"";""
"0";"enemy";"";""
"16";"enforce";"";""
"39";"engage";"";""
"39";"engines";"";""
"39";"englishman";"";""
"39";"engluts";"";""
"39";"enjoy";"";""
"39";"enmesh";"";""
"39";"enriches";"";""
"39";"ensnare";"";""
"19";"entertainment";"";""
"19";"entire";"";""
"0";"entreat";"";""
"78";"entreats";"";""
"39";"enwheel";"";""
"39";"epithets";"";""
"0";"ere";"";""
"39";"err";"";""
"39";"erring";"";""
"78";"error";"";""
"39";"errs";"";""
"8";"escape";"";""
"19";"especial";"";""
