"weight";"word";"color";"url"
"17";"abate";"";""
"35";"abbey";"";""
"35";"abed";"";""
"7";"abhorred";"";""
"35";"abhors";"";""
"17";"access";"";""
"17";"account";"";""
"35";"aching";"";""
"17";"acknowledge";"";""
"7";"acquaint";"";""
"17";"acquaintance";"";""
"35";"acted";"";""
"17";"acting";"";""
"0";"action";"";""
"17";"acts";"";""
"17";"adam";"";""
"7";"add";"";""
"35";"adding";"";""
"35";"addle";"";""
"35";"adjacent";"";""
"35";"admired";"";""
"35";"advance";"";""
"35";"advanced";"";""
"35";"adventure";"";""
"17";"adversary";"";""
"0";"affection";"";""
"35";"affections";"";""
"35";"afflicted";"";""
"7";"affliction";"";""
"70";"afford";"";""
"35";"affords";"";""
"17";"affright";"";""
"35";"afire";"";""
"53";"afore";"";""
"17";"afraid";"";""
"35";"agate";"";""
"0";"age";"";""
"35";"agile";"";""
"35";"agrees";"";""
"0";"air";"";""
"53";"airy";"";""
"22";"alack";"";""
"53";"alas";"";""
"70";"alike";"";""
"7";"alive";"";""
"35";"alla";"";""
"35";"alliance";"";""
"35";"alligator";"";""
"7";"aloof";"";""
"35";"ambiguities";"";""
"35";"amerce";"";""
"7";"amorous";"";""
"35";"anatomy";"";""
"35";"ancestors";"";""
"0";"ancient";"";""
"17";"angels";"";""
"29";"anger";"";""
"17";"angry";"";""
"14";"anon";"";""
"35";"anselmo";"";""
"0";"answer";"";""
"17";"antic";"";""
"17";"ape";"";""
"35";"appertaining";"";""
"22";"apprehend";"";""
"35";"april";"";""
"22";"apt";"";""
"35";"aqua";"";""
"35";"arbitrating";"";""
"7";"argues";"";""
"7";"argument";"";""
"0";"arm";"";""
"35";"armour";"";""
"0";"arms";"";""
"35";"array";"";""
"17";"arrives";"";""
"0";"art";"";""
"35";"artificial";"";""
"35";"ascend";"";""
"17";"asleep";"";""
"35";"assailing";"";""
"17";"assistant";"";""
"35";"associate";"";""
"0";"assure";"";""
"35";"athwart";"";""
"35";"atomies";"";""
"0";"attend";"";""
"7";"attending";"";""
"7";"attends";"";""
"35";"attires";"";""
"0";"aught";"";""
"35";"augmenting";"";""
"0";"awake";"";""
"35";"axe";"";""
"17";"babe";"";""
"0";"bad";"";""
"7";"bade";"";""
"17";"bait";"";""
"35";"bakes";"";""
"35";"baleful";"";""
"35";"balthasar";"";""
"17";"bandy";"";""
"35";"bandying";"";""
"35";"banished";"";""
"35";"banquet";"";""
"0";"bare";"";""
"7";"barefoot";"";""
"35";"bargain";"";""
"0";"bark";"";""
"35";"bating";"";""
"17";"battlements";"";""
"35";"bauble";"";""
"7";"bawdy";"";""
"17";"beams";"";""
"35";"bean";"";""
"0";"bear";"";""
"0";"beard";"";""
"7";"bearing";"";""
"0";"bears";"";""
"0";"beast";"";""
"29";"beat";"";""
"0";"beaten";"";""
"22";"beats";"";""
"35";"beauteous";"";""
"17";"beauties";"";""
"35";"beautiful";"";""
"35";"beautify";"";""
"58";"beauty";"";""
"35";"becomed";"";""
"0";"bed";"";""
"35";"bedeck";"";""
"35";"beetle";"";""
"35";"befits";"";""
"0";"beg";"";""
"7";"began";"";""
"0";"beggar";"";""
"17";"beggarly";"";""
"7";"beggars";"";""
"35";"beggary";"";""
"35";"beginners";"";""
"7";"begot";"";""
"36";"behold";"";""
"35";"behooffull";"";""
"14";"bell";"";""
"35";"belong";"";""
"35";"belonging";"";""
"17";"beloved";"";""
"7";"bent";"";""
"141";"benvolio";"";""
"35";"bepaint";"";""
"35";"berhyme";"";""
"0";"beseech";"";""
"35";"beseeming";"";""
"29";"beshrew";"";""
"35";"bestride";"";""
"35";"bestrides";"";""
"35";"betake";"";""
"14";"bethink";"";""
"35";"betossed";"";""
"35";"bewitched";"";""
