"weight";"word";"color";"url"
"12";"abate";"";""
"25";"abatements";"";""
"5";"abhorred";"";""
"25";"ability";"";""
"25";"abridgment";"";""
"12";"absent";"";""
"10";"absolute";"";""
"25";"abstract";"";""
"25";"absurd";"";""
"5";"abuse";"";""
"12";"abuses";"";""
"10";"accent";"";""
"25";"accepts";"";""
"12";"access";"";""
"25";"accidental";"";""
"25";"accord";"";""
"12";"account";"";""
"25";"accounted";"";""
"12";"accuse";"";""
"25";"ache";"";""
"5";"acquaint";"";""
"25";"acquire";"";""
"25";"acquittance";"";""
"25";"acres";"";""
"12";"acting";"";""
"0";"action";"";""
"25";"actions";"";""
"25";"actively";"";""
"51";"actor";"";""
"51";"actors";"";""
"12";"acts";"";""
"12";"adam";"";""
"25";"adders";"";""
"25";"addicted";"";""
"5";"addition";"";""
"12";"address";"";""
"25";"admiration";"";""
"51";"admit";"";""
"25";"admittance";"";""
"25";"adoption";"";""
"25";"adulterate";"";""
"25";"advancement";"";""
"25";"adventurous";"";""
"25";"advice";"";""
"5";"advise";"";""
"25";"aerie";"";""
"25";"afar";"";""
"25";"afeard";"";""
"25";"affair";"";""
"12";"affairs";"";""
"0";"affection";"";""
"12";"affections";"";""
"12";"afflict";"";""
"10";"affliction";"";""
"25";"afflicts";"";""
"25";"affront";"";""
"12";"afraid";"";""
"0";"age";"";""
"12";"aim";"";""
"25";"aimed";"";""
"0";"air";"";""
"25";"airs";"";""
"12";"airy";"";""
"5";"alack";"";""
"12";"alarm";"";""
"127";"alexander";"";""
"25";"alleys";"";""
"25";"allowance";"";""
"12";"allowed";"";""
"10";"aloof";"";""
"12";"altitude";"";""
"25";"amaze";"";""
"12";"amazed";"";""
"51";"amazement";"";""
"51";"ambassador";"";""
"127";"ambassadors";"";""
"25";"amber";"";""
"25";"ambiguous";"";""
"21";"ambition";"";""
"51";"ambitious";"";""
"0";"ancient";"";""
"38";"angel";"";""
"25";"angels";"";""
"25";"angle";"";""
"12";"angry";"";""
"25";"annual";"";""
"25";"anoint";"";""
"21";"anon";"";""
"0";"answer";"";""
"25";"answerest";"";""
"12";"antic";"";""
"25";"anticipation";"";""
"25";"antique";"";""
"25";"antiquity";"";""
"12";"ape";"";""
"25";"apiece";"";""
"25";"appall";"";""
"25";"apparel";"";""
"51";"apparition";"";""
"76";"appeared";"";""
"25";"appeareth";"";""
"5";"appears";"";""
"12";"appetite";"";""
"25";"applaud";"";""
"25";"apple";"";""
"25";"appliance";"";""
"25";"appointment";"";""
"51";"apprehension";"";""
"10";"approve";"";""
"25";"appurtenance";"";""
"25";"aptly";"";""
"25";"ardor";"";""
"5";"argues";"";""
"10";"argument";"";""
"25";"aright";"";""
"25";"arithmetic";"";""
"0";"arm";"";""
"51";"armed";"";""
"51";"armor";"";""
"0";"arms";"";""
"38";"army";"";""
"25";"aroused";"";""
"12";"arraign";"";""
"25";"arrant";"";""
"76";"arras";"";""
"25";"arrests";"";""
"25";"arrow";"";""
"25";"arrows";"";""
"0";"art";"";""
"12";"article";"";""
"25";"articles";"";""
"25";"artless";"";""
"25";"arture";"";""
"25";"ases";"";""
"25";"ashamed";"";""
"25";"askant";"";""
"25";"asked";"";""
"15";"ass";"";""
"25";"assail";"";""
"25";"assay";"";""
"12";"assays";"";""
"12";"assistant";"";""
"25";"associates";"";""
"51";"assume";"";""
"25";"assurance";"";""
"0";"assure";"";""
"5";"assured";"";""
"0";"attend";"";""
"12";"attendant";"";""
"5";"attends";"";""
"25";"attent";"";""
"102";"audience";"";""
"25";"audit";"";""
"0";"aught";"";""
"12";"auspicious";"";""
"51";"author";"";""
"25";"avoid";"";""
"12";"avouch";"";""
"0";"awake";"";""
"51";"awe";"";""
"76";"awhile";"";""
"25";"awry";"";""
"51";"baby";"";""
"25";"backed";"";""
"0";"bad";"";""
"5";"bade";"";""
"12";"bait";"";""
"51";"baked";"";""
"25";"ban";"";""
"12";"bank";"";""
"12";"bar";"";""
"25";"barbara";"";""
"25";"barbary";"";""
"0";"bare";"";""
"25";"barefaced";"";""
"5";"barefoot";"";""
"0";"bark";"";""
"25";"barked";"";""
"586";"barnardo";"";""
"25";"barred";"";""
"25";"barren";"";""
"15";"base";"";""
"12";"baseness";"";""
"51";"baser";"";""
"51";"basket";"";""
"25";"batten";"";""
"12";"battlements";"";""
"5";"bawd";"";""
"12";"bawds";"";""
"5";"bawdy";"";""
"0";"bear";"";""
"0";"beard";"";""
"51";"bearers";"";""
"0";"bears";"";""
"0";"beast";"";""
"25";"beasts";"";""
"0";"beaten";"";""
"51";"beating";"";""
"5";"beats";"";""
"12";"beauteous";"";""
"25";"beautied";"";""
"12";"beauties";"";""
"25";"beautified";"";""
"21";"beauty";"";""
"25";"beaver";"";""
"25";"beck";"";""
"12";"beckons";"";""
"0";"bed";"";""
"25";"bedded";"";""
"25";"beer";"";""
"25";"beetles";"";""
"25";"befitted";"";""
"0";"beg";"";""
"12";"beget";"";""
"0";"beggar";"";""
"5";"beggars";"";""
"5";"beguile";"";""
"51";"begun";"";""
"12";"behavior";"";""
"25";"behooves";"";""
"12";"belief";"";""
"25";"believed";"";""
"51";"belike";"";""
"10";"bell";"";""
"25";"bellow";"";""
"12";"bellowed";"";""
"12";"bells";"";""
"38";"bend";"";""
"25";"bended";"";""
"5";"benefit";"";""
"25";"benetted";"";""
"10";"bent";"";""
"25";"berattle";"";""
"0";"beseech";"";""
"25";"beseeched";"";""
"5";"beshrew";"";""
"25";"besmirch";"";""
"25";"bestial";"";""
"21";"bestow";"";""
